Title,ArticleId,AuthorEmail,Slug,CoverImage,PublishDate,CanonicalURL,Status,Author,Tags,ReadTimeMinutes,Description,CoverImageAlt,Published
"Introducing Tokamak zk-SNARK: Cryptography Made Practical","89v5v9ri","","tokamak-zksnark-advantages","Introducing%20Tokamak%20zk-SNARK%20Cryptography%20Made%20Pra/Intro_post-cover.png","December 30, 2025","","","Nil Soroush","Research; Technology; zkEVM","","How Tokamak’s universal-setup zkSNARK and modular zkEVM deliver smaller proofs, cheaper verification, and flexible deployment.","","Prod"
"Tokamak Network ZKP: Zero‑Knowledge Proofs, Stupidly Simple","bwaa7l1l","","tokamak-network-zkp-stupidly-simple-one-click","","","","Draft","","Education; Technology","","Announcing Tokamak Network’s one‑click ZKP generation — turn complex cryptography into a developer‑first workflow.","","Staging"
"Delegating Computations of Multi-Scalar Multiplication","cuyrwc2b","luca@tokamak.network","delegating-computations-of-msms","Delegating%20Computations%20of%20Multi-Scalar%20Multiplica/Gemini_Generated_Image_m79icum79icum79i_(1)%201.png","January 5, 2026","https://zkp.tokamak.network/blog/delegating-computations-of-msms","Published","Luca Dall’Ava","Cryptography; Research; Technical; Technology","15","The aim of this technical blog post is to review various attempts and solutions to remove a very challenging cryptographic bottleneck, crucial to most web3 applications, namely, the possibility to delegate computation (of MSMs) to an untrusted party. The scenario considered is that of an on-chain verifier trying to delegate the computation of an MSM.","","Prod"
"The Cryptographic Magic Nobody Told You About","ik9iphcf","","the-cryptographic-magic-nobody-told-you-about","","December 9, 2025","","Draft","Aamir","Education; Technical; Technology; zkEVM","8","A plain-language intro to FROST threshold signatures, DKG, and why an invisible single address can be controlled by many.","","Staging"
"Multi-Sig vs Threshold Signatures: Which one to chose?","io4cnsd7","","multi-sig-vs-threshold-signatures-which-one-to-chose","","December 9, 2025","","Draft","Aamir","Education; Technical; Technology; zkEVM","9","A practical framework for choosing between multi-sig and threshold signatures across transparency, privacy, and cost.","","Staging"
"Scaling Tokamak: Efficient Batched Verification for Tokamak zk-SNARKs","o1havbtb","luca@tokamak.network","scaling-tokamak-batched-verification","Scaling%20Tokamak%20Efficient%20Batched%20Verification%20for/Gemini_Generated_Image_4iab7i4iab7i4iab.png","December 16, 2025","https://zkp.tokamak.network/blog/scaling-tokamak-batched-verification","Published","Luca Dall’Ava","Cryptography; Technical","6","Discover how batched verification reduces on-chain costs for Tokamak zk-SNARKs by replacing expensive sequential pairing operations with efficient aggregated checks, enabling high-throughput scalability.","","Prod"
"Cryptography Made Practical: Lightning-Fast Verification","pjnb96um","","","","","","","","","","","",""
"Pick, Wire & Prove; The Anatomy of Tokamak zk-SNARK","tv3i44co","","pick-wire-and-prove-the-anatomy-of-tokamak-zksnark","Pick,%20Wire%20&%20Prove;%20The%20Anatomy%20of%20Tokamak%20zk-SNAR/anatomy_of_TM-ZK-SNARK.png","December 30, 2025","","","Nil Soroush","Cryptography; Technical; Technology","","We present a high-level overview of Tokamak zk-SNARK.","","Prod"
"Zero-Knowledge Proofs, Simply Explained by Tokamak","vzk3p0ml","","zero-knowledge-explained-simple","","","","Published","Aamir Muhammad","Education; Technology","","A friendly, plain-language intro to zero-knowledge proofs with everyday examples and why they matter.","","Prod"
"Tokamak Private App Channels: A Comparative Analysis","z3ko4zlu","","tokamak-private-app-channels-a-comparative-analysis","","December 30, 2025","","Ready to Publish","Nil Soroush,  Jake Jang","Research; Technical; Technology; zkEVM","","A technical  comparison of Tokamak Private App Channels against Aztec, Aleo, Penumbra, and COTI V2.","","Prod"
"On-chain privacy trilemma: Why True Privacy Is Still Hard on Ethereum","v6drethd","","On-chain-privacy-trilemma-Why-True-Privacy-Is-Still-Hard-on-Ethereum","","November 16, 2025","","Published","Mehdi","Education; Technology","","How the pursuit of privacy collides with usability and security — and how new protocols like Tokamak Channels might resolve it.","","Prod"
